--2017-05-08 02:00:02--  ftp://bks-speedtest-1.tele2.net/100MB.zip
           => ‘/dev/null’
Resolving bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)... 90.130.74.113, 2a00:800:1010:9::2
Connecting to bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)|90.130.74.113|:21... connected.
Logging in as anonymous ... Logged in!
==> SYST ... done.    ==> PWD ... done.
==> TYPE I ... done.  ==> CWD not needed.
==> SIZE 100MB.zip ... 104857600
==> PASV ... done.    ==> RETR 100MB.zip ... done.
Length: 104857600 (100M) (unauthoritative)

     0K .......... .......... .......... .......... ..........  0%  492K 3m28s
    50K .......... .......... .......... .......... ..........  0%  993K 2m35s
   100K .......... .......... .......... .......... ..........  0% 66.6M 1m44s
   150K .......... .......... .......... .......... ..........  0%  990K 1m44s
   200K .......... .......... .......... .......... ..........  0% 77.0M 83s
   250K .......... .......... .......... .......... ..........  0% 1018K 86s
   300K .......... .......... .......... .......... ..........  0% 53.7M 74s
   350K .......... .......... .......... .......... ..........  0% 55.8M 65s
   400K .......... .......... .......... .......... ..........  0% 1020K 69s
   450K .......... .......... .......... .......... ..........  0% 46.4M 62s
   500K .......... .......... .......... .......... ..........  0% 80.3M 57s
   550K .......... .......... .......... .......... ..........  0% 82.5M 52s
   600K .......... .......... .......... .......... ..........  0% 62.8M 48s
   650K .......... .......... .......... .......... ..........  0% 1.03M 51s
   700K .......... .......... .......... .......... ..........  0% 45.1M 48s
   750K .......... .......... .......... .......... ..........  0%  267M 45s
   800K .......... .......... .......... .......... ..........  0%  113M 43s
   850K .......... .......... .......... .......... ..........  0% 47.2M 40s
   900K .......... .......... .......... .......... ..........  0% 1.03M 43s
   950K .......... .......... .......... .......... ..........  0% 52.4M 41s
  1000K .......... .......... .......... .......... ..........  1%  135M 39s
  1050K .......... .......... .......... .......... ..........  1%  106M 37s
  1100K .......... .......... .......... .......... ..........  1% 76.5M 36s
  1150K .......... .......... .......... .......... ..........  1% 93.3M 34s
  1200K .......... .......... .......... .......... ..........  1% 91.5M 33s
  1250K .......... .......... .......... .......... ..........  1% 86.1M 32s
  1300K .......... .......... .......... .......... ..........  1% 1.33M 33s
  1350K .......... .......... .......... .......... ..........  1% 4.48M 33s
  1400K .......... .......... .......... .......... ..........  1%  111M 32s
  1450K .......... .......... .......... .......... ..........  1%  114M 31s
  1500K .......... .......... .......... .......... ..........  1%  112M 30s
  1550K .......... .......... .......... .......... ..........  1%  123M 29s
  1600K .......... .......... .......... .......... ..........  1%  141M 28s
  1650K .......... .......... .......... .......... ..........  1% 44.1M 27s
  1700K .......... .......... .......... .......... ..........  1%  132M 26s
  1750K .......... .......... .......... .......... ..........  1%  212M 26s
  1800K .......... .......... .......... .......... ..........  1%  213M 25s
  1850K .......... .......... .......... .......... ..........  1% 1.38M 26s
  1900K .......... .......... .......... .......... ..........  1% 4.81M 26s
