--2017-05-05 02:00:02--  ftp://bks-speedtest-1.tele2.net/100MB.zip
           => ‘/dev/null’
Resolving bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)... 90.130.74.113, 2a00:800:1010:9::2
Connecting to bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)|90.130.74.113|:21... connected.
Logging in as anonymous ... Logged in!
==> SYST ... done.    ==> PWD ... done.
==> TYPE I ... done.  ==> CWD not needed.
==> SIZE 100MB.zip ... 104857600
==> PASV ... done.    ==> RETR 100MB.zip ... done.
Length: 104857600 (100M) (unauthoritative)

     0K .......... .......... .......... .......... ..........  0%  535K 3m11s
    50K .......... .......... .......... .......... ..........  0% 1.07M 2m22s
   100K .......... .......... .......... .......... ..........  0% 72.1M 95s
   150K .......... .......... .......... .......... ..........  0% 1.07M 95s
   200K .......... .......... .......... .......... ..........  0% 78.2M 76s
   250K .......... .......... .......... .......... ..........  0%  119M 64s
   300K .......... .......... .......... .......... ..........  0% 1.08M 68s
   350K .......... .......... .......... .......... ..........  0%  107M 59s
   400K .......... .......... .......... .......... ..........  0%  129M 53s
   450K .......... .......... .......... .......... ..........  0% 74.8M 48s
   500K .......... .......... .......... .......... ..........  0% 72.9M 43s
   550K .......... .......... .......... .......... ..........  0% 65.3M 40s
   600K .......... .......... .......... .......... ..........  0% 1.12M 44s
   650K .......... .......... .......... .......... ..........  0% 74.2M 41s
   700K .......... .......... .......... .......... ..........  0%  154M 38s
   750K .......... .......... .......... .......... ..........  0%  101M 36s
   800K .......... .......... .......... .......... ..........  0% 30.6M 34s
   850K .......... .......... .......... .......... ..........  0%  416M 32s
   900K .......... .......... .......... .......... ..........  0% 1.30M 34s
   950K .......... .......... .......... .......... ..........  0% 7.69M 33s
  1000K .......... .......... .......... .......... ..........  1% 69.6M 32s
  1050K .......... .......... .......... .......... ..........  1%  109M 30s
  1100K .......... .......... .......... .......... ..........  1% 82.0M 29s
  1150K .......... .......... .......... .......... ..........  1% 66.7M 28s
  1200K .......... .......... .......... .......... ..........  1% 99.1M 27s
  1250K .......... .......... .......... .......... ..........  1% 54.9M 26s
  1300K .......... .......... .......... .......... ..........  1%  131M 25s
  1350K .......... .......... .......... .......... ..........  1%  140M 24s
  1400K .......... .......... .......... .......... ..........  1%  174M 23s
  1450K .......... .......... .......... .......... ..........  1% 42.9M 22s
  1500K .......... .......... .......... .......... ..........  1%  451M 22s
  1550K .......... .......... .......... .......... ..........  1% 1.40M 23s
  1600K .......... .......... .......... .......... ..........  1%  105M 22s
  1650K .......... .......... .......... .......... ..........  1% 8.52M 22s
  1700K .......... .......... .......... .......... ..........  1% 27.0M 22s
  1750K .......... .......... .......... .......... ..........  1%  188M 21s
  1800K .......... .......... .......... .......... ..........  1%  156M 20s
  1850K .......... .......... .......... .......... ..........  1%  297M 20s
  1900K .......... .......... .......... .......... ..........  1%  120M 19s
  1950K .......... .......... .......... .......... ..........  1%  146M 19s
